objectId,redDecimal,blueHex,greenFraction,hexCode,ACL,redHex,name,updatedAt,greenDecimal,redFraction,blueDecimal,greenHex,createdAt,blueFraction
17IHjiWFQy,251,81,0,#FB0081,null,FB,Flickr Pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0,0.98,129,00,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.51
zc1BTwB51S,250,A5,0.84,#FAD6A5,null,FA,Deep champagne,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),214,0.98,165,D6,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.65
tic43ACRPh,248,79,0.51,#F88379,null,F8,Congo pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),131,0.97,121,83,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.47
K4zbgF8C4n,241,CF,0.87,#F1DDCF,null,F1,Champagne pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),221,0.95,207,DD,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.81
fGgVpKmBTI,244,C2,0.76,#F4C2C2,null,F4,Baby pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),194,0.96,194,C2,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.76
BFGOQYq34y,245,DC,0.96,#F5F5DC,null,F5,Beige,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),245,0.96,220,F5,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.86
FPwXfGmbhA,246,8A,0.29,#F64A8A,null,F6,French rose,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),74,0.96,138,4A,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.54
GXYTUy6pdK,245,A1,0.44,#F56FA1,null,F5,Cyclamen,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),111,0.96,161,6F,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.63
QvvgaBDzE6,240,FF,1,#F0FFFF,null,F0,Azure (X11/web color),Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),255,0.94,255,FF,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),1
AhMU0ohH7z,240,FF,0.97,#F0F8FF,null,F0,Alice blue,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),248,0.94,255,F8,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),1
wTVjRIsZFr,244,A1,0,#F400A1,null,F4,Fashion fuchsia,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0,0.96,161,00,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.63
STnHF1vC45,239,CD,0.87,#EFDECD,null,EF,Almond,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),222,0.94,205,DE,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.8
rmNEN8LCk0,240,D6,0.92,#F0EAD6,null,F0,Eggshell,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),234,0.94,214,EA,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.84
He2duXwg6e,239,BB,0.87,#EFDFBB,null,EF,Dutch white,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),223,0.94,187,DF,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.73
TFea09OnG3,241,BB,0.61,#F19CBB,null,F1,Amaranth pink,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),156,0.95,187,9C,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.73
iukfuWGVie,240,82,0.86,#F0DC82,null,F0,Buff,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),220,0.94,130,DC,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.51
LSfKlwWH9W,237,AF,0.79,#EDC9AF,null,ED,Desert sand,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),201,0.93,175,C9,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.69
djjmPcGRJ5,237,2D,0.53,#ED872D,null,ED,Cadmium orange,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),135,0.93,45,87,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.18
5IKrcKecAW,233,6B,0.84,#E9D66B,null,E9,Arylide yellow,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),214,0.91,107,D6,Fri Dec 13 2019 17:44:20 GMT-0600 (Central Standard Time),0.42
