Name,Red,Green,Blue
China pink,222,111,161
Blush,222,93,131
Chartreuse (traditional),223,255,0
Burlywood,222,184,135
Cerise,222,49,99
Barbie Pink,218,24,132
Fandango pink,222,82,133
Deep cerise,218,50,135
Chocolate (web),210,105,30
Bright lilac,216,145,239
Dogwood rose,215,24,104
Carmine (M&P),215,0,64
Copper (Crayola),218,138,103
Amaranth red,211,33,45
French mauve,212,115,212
Cocoa brown,210,105,30
Arctic lime,208,255,20
Fire engine red,206,32,41
Cedar Chest,201,90,73
Camel,193,154,107
Burnt orange,204,85,0
French raspberry,199,44,72
Aero blue,201,255,229
Bitter lemon,202,224,13
Cinnamon Satin,205,96,126
Bright maroon,195,33,72
Desert,193,154,107
Fuchsia purple,204,57,123
English vermillion,204,71,75
Antique brass,205,149,117
Bronze,205,127,50
Electric lime,204,255,0
Fuchsia rose,199,67,117
Brick red,203,65,84
Alloy orange,196,98,16
Copper red,203,109,81
Cardinal,196,30,58
Bitter lime,191,255,0
English lavender,180,131,149
Celeste,178,255,255
Dark khaki,189,183,107
Fallow,193,154,107
Fuchsia (Crayola),193,84,193
Ecru,194,178,128
Bittersweet shimmer,191,79,81
Beau blue,188,212,230
Black Shadows,191,175,178
Electric purple,191,0,255
Byzantine,189,51,164
Columbia Blue,185,217,235
Dark goldenrod,184,134,11
Copper,184,115,51
Deep chestnut,185,78,72
Carnelian,179,27,27
African violet,178,132,190
Fandango,181,51,137
Ash gray,178,190,181
Copper penny,173,111,105
Auburn,165,42,42
Celadon,172,225,175
Acid green,176,191,26
Amaranth purple,171,39,79
Brown sugar,175,110,77
Blue bell,162,162,208
Firebrick,178,34,34
Chinese red,170,56,30
English red,171,75,82
Café au lait,166,123,91
Cadet blue (Crayola),169,178,195
Blizzard blue,172,229,238
China rose,168,81,110
French beige,166,123,91
Blast-off bronze,165,113,100
Flirt,162,0,109
Android green,164,198,57
Cambridge blue,163,193,173
Baby blue eyes,161,202,241
Amaranth (M&P),159,43,104
Cinereous,152,129,123
Drab,150,113,23
Citron,159,169,31
Beaver,159,129,112
Crimson (UA),158,27,50
Cadet grey,145,163,176
Burnished brown,161,122,116
Big dip o’ruby,156,37,66
French lime,158,253,56
Amethyst,153,102,204
Copper rose,153,102,102
Eton blue,150,200,162
Carmine,150,0,24
Bistre brown,150,113,23
Dark orchid,153,50,204
Dark violet,148,0,211
Artichoke,143,151,121
Chestnut,149,69,53
Antique fuchsia,145,92,131
Dark sea green,143,188,143
Baby blue,137,207,240
Cool grey,140,146,172
Dark magenta,139,0,139
Cordovan,137,63,69
Dark sky blue,140,190,214
Apple green,141,182,0
Brown,136,84,11
Asparagus,135,169,107
Brandy,135,65,63
Electric violet,143,0,255
Blue-violet,138,43,226
Burnt umber,138,51,36
Dark red,139,0,0
French violet,136,6,206
French lilac,134,96,142
Fuzzy Wuzzy,135,66,31
Antique ruby,132,27,45
Battleship grey,132,132,130
Chinese violet,133,96,136
Chartreuse (web),127,255,0
Aero,124,185,232
Coyote brown,129,97,60
Byzantium,112,41,99
Chocolate (traditional),123,63,0
Aquamarine,127,255,212
French bistre,133,109,77
Burgundy,128,0,32
Deep taupe,126,94,96
Falu red,128,24,24
Barn red,124,10,2
Claret,127,23,52
French sky blue,119,181,254
Electric blue,125,249,255
Bole,121,68,59
Coffee,111,78,55
Air superiority blue,114,160,193
Blue-violet (Crayola),115,102,189
Bud green,123,182,97
Catawba,112,54,66
Cornflower blue,100,149,237
Electric indigo,111,0,255
Eminence,108,48,130
Blue-gray,102,153,204
Field drab,108,84,30
Blood red,102,0,0
Cerulean frost,109,155,195
Dim gray,105,105,105
Bright green,102,255,0
Cadet blue,95,158,160
Dark blue-gray,102,102,153
Cyber grape,88,66,124
Caput mortuum,89,39,32
Eggplant,97,64,81
Dark byzantium,93,57,84
Antique bronze,102,93,30
Forest green (Crayola),95,167,119
Dark brown,101,67,33
Avocado,86,130,3
Blue jeans,93,173,236
Dark electric blue,83,104,120
Dark liver (horses),84,61,55
Café noir,75,54,33
Emerald,80,200,120
Carolina blue,86,160,211
Cadet,83,104,114
Dark liver,83,75,79
English violet,86,60,92
Dark olive green,85,107,47
Black coral,84,98,111
Blue yonder,80,114,167
Ebony,85,93,80
Davy's grey,85,85,85
Army green,75,83,32
Feldgrau,77,93,83
